keywords_en
"statistical models, public health, FARSI approach, science communication"
"reperfusion injury, functional status, blood biomarkers, stroke"
"pyIHM, Hard Modeling, Python"
"metabolomics, lipoproteomics, celiac disease, gluten sensitivity"
"Alzheimer, metabolomics, lipoproteomics, serum"
"Periodontitis, Microbiome, Therapy, Omics"
"metabolomic profiles, atrial fibrillation, oral anticoagulants, vitamin K antagonists"
"metabolomics, NMR, Alzheimer, research"
"fingerprinting, profiling, metabolomics, biosamples"
"C16ORF70, MYTHO, healthy aging, cellular senescence"
"sex dimorphism, lipid metabolism, UK Biobank, proteomics"
"Monte Carlo, biometric indices, least-squares, simulation"
"mortality models, subordinated, linear hypercubes"
"functional disability, Health and Retirement Study, semi-Markov, multi-state analysis"
"marine-derived compounds, geroscience, potential"
"astrocytes, Alzheimer, Aβ1-42, reactivity"
"nutraceuticals, functional foods, cellular senescence, aging"
"Blastocystis, healthy diets, cardiometabolic outcomes, individuals"
"Women4Health, cohort, mechanisms, cardio-metabolic"
"SH2 domains, folding, binding, therapeutical"
"binding properties, transient folding, PDZ repeat"
"Folding, binding mechanisms, SH2 domain, Crkl"
"GWAS, genetic factors, eosinophils, innate immunity"
"opportunity, youth, migration, employment"
"intergenerational justice, index, Age-It Research Program, evidence"
"Virtual Reality, Empathy, Delirium Care, Simulation"
"young, democracy, empowerment"
"Introduction, Biale, Burelli, Galeotti"
"democracies, political marginality, youth"
"aging, population, society, challenges"
"sustainable care, quality improvement, performance measurement, lean healthcare"
"Value Stream Mapping, Healthcare, Efficiency, Sustainability"
"managerial approaches, sustainability, care"
"chronic care, Health Lean Management, case study, Spanish hospital"
"lean management, safety management, performance indicators, quality improvement"
"Lean, Safety Management, Primary Care, Italian Case"
"Micro-Nano Robotics, Density Matrices, Swarm Quantum Mechanics"
"emotional self-efficacy, negative emotions, work management, validation"
"customer incivility, self-esteem, job satisfaction, diary study"
"User-Centered Design, Emotional Well-being, Family Caregivers, Dementia"
"equity, healthcare services, elderly, policies"
"Conversational Agents, Legal Domain, Systematic Review, Literature"
"wearable technologies, age-friendly, walkability, systematic review"
"quantum computing, swarm robotics, local-to-global, approach"
"sustainability, walkability, AI simulation, elderly"
"Artificial Intelligence, informal caregivers, support, systematic review"
"AI solutions, informal caregivers, decision-making, systematic review"
"artificial intelligence, informal caregivers, elderly care, systematic review"
"listeners, audio features, comparison"
"Quantum Memory, Non-Markovianity, Orchestral Music"
"aging process, older adults, subjective views, systematic review"
"multidomain interventions, cognitive well-being, elderly, residential facilities"
"self-esteem, self-concept, well-being, adult workers"
"disparity, mortality, education, Italia"
"mortality, inequalities, Italian regions, specific causes"
"aging, caregiver, dementia, caregiving burden"
"healthy ageing, preventive pathways, systematic review"
"healthy ageing, preventive pathway, Italy, scoping review"
"Congress, SISMES, national, XIV"
"aging, health, prevention, society"
"LGBTQ+, elderly, sports, good practices"
"Music Listening, Cognition, Affective State, Older Adults"
"territorial networks, lifelong learning, active aging"
"aging, personality, age, opinions"
"longevity, active aging, good practices, education"
"connection, long life, proximal systems, local culture"
intergenerationality
"DROSHA, DICER, ncRNA, BMI1"
"Cognitive Stimulation Therapy, dementia, efficacy, etiologies"
"soft skills, cognitive reserve, life satisfaction, adulthood"
"telomeric DNA, neurotoxicity, Aβ42 oligomers, Alzheimer's disease"
"DNA damage, TDP-43, FUS, pharmacological rescue"
"telomeric oligonucleotides, premature aging, zebrafish, telomerase mutant"
"Cognitive Frailty, Geriatric Mice, Index"
"CRISPR/Cas9, selective elimination, aberrant genome, cells"
"aging, cancer, interplay, complex"
"Judy Campisi, cellular senescence, memory, spreading"
"ageing, learning, older adults, interdisciplinary"
"longevity, ecosystemic, research, intervention"
"care, learning, complexity, systems theory"
"transitions, older age, meta-narrative, interdisciplinary"
"aging, educational process, systemic"
"Income, Fertility, Couples, Tuscany"
"air pollutants, mitochondrial DNA, acute coronary syndromes"
"telomeric RNA, senescence, biomarkers, therapeutic targets"
"actin-myosin, energy transduction, orthophosphate, muscle"
"creatine transporter, muscle performance, mitochondrial homeostasis, muscle atrophy"
"Cardiac Force, Temperature, Modulation"
"healthy aging, policy innovation, Age-It, research program"
"telomere length, mitochondrial DNA, micronucleus, oxidative stress"
"employee benefits, job satisfaction, gender, age"
"care culture, childcare, women's labor, Europe"
"heart performance, structural pathways, integrated picture"
"Medaka fish, Oryzias latipes, titinopathies, HMERF"
"eyeballing fallacy, visualization, statistical differences, pheatplot"
"muscle myosin, synthetic sarcomere, kinetics, force"
"gender, occupation, COVID-19, Italia"
"childlessness, depression, later life, gender differences"
"reproducibility, replicability, hope"
"PHEATPLOT, visualization, p-values"
"care services, fertility, Italy"
"employment, instability, birth, Italia"
"violence, women, replication, comment"
"gender, domestic work, foreign couples, caregiving activities"
"glioma, mapping, probabilistic, spatial"
"culture, gender, domestic work, childcare"
"fertility, motivations, desires, intentions"
"University of Trento, graduates, origin, trajectories"
"Vitality, Depletion, Adolescence, Scales"
"MicroRNA-22-3p, sarcopenia, circulating levels, patients"
"biomarkers, malnutrition, GLIM, older adults"
"muscle power, mobility limitations, older adults, normalization methods"
"cardiovascular health, temporal trends, Italy, decennial report"
"lifestyle interventions, elderly, sarcopenia, independence"
"cardiovascular health, difficulty walking, older adults, longevity"
"sarcopenia, falls, older adults, factors"
"sarcopenia, muscle strength, health parameters, power"
"cardio-sarcopenia, physical exercise, nutritional counselling, older adults"
"Adherence, Physical Activity, Mobility Disability, Older Adults"
"urban health, inequalities, healthy longevity, risk factors"
"healthy aging, life cycle, promotion"
"poor sleep, sarcopenia, older adults, longevity check-up"
"waist-to-hip, waist-to-height, physical performance, Longevity Check-up"
"SARC-F, sarcopenia, elderly, calf circumference"
"waist-to-calf ratio, diabetes risk, Longevity Check-Up, Lookup 8+"
"intrinsic capacity, recent falls, older adults, ilSIRENTE Study"
"calf circumference, sarcopenia, older adults, diagnostic value"
"physical performance, survival, elderly adults, ilSIRENTE"
"sonification, temporal signals, epileptic seizures, quantum model"
"LongitProgression, Python Tool, Disease Progression, Multivariate Clustering"
"K-operator, neurodegeneration, fMRI, simulations"
"brain states, sketching, space"
"fat mass, body mass index, cardiovascular health, older adults"
"Alzheimer, cerebellar, limbic, physics-inspired"
"AI, neuropsychiatry, non-invasive, experiment"
"Krankheit-operator, Epilepsy, ECoG, Case Study"
"Cognitive Impairment, Transcriptomic Data, Clustering, Patients"
"Explainability, Longitudinal Clustering, Healthcare Data, Soft-DTW"
"delirium, frailty, older adults, biological underpinnings"
"cost of delay, early intervention, bone health"
"disease progression, elderly, frailty, cognitive decline"
"Parkinson's Disease, Brain-Network, Modeling, Data-Driven"
"disease, healing, theoretical, sketch"
"disease, healing, network alterations, category theory"
"Federated K-Means, eHealth, Heterogeneous Data, Data Distributions"
"sepsis, clinical markers, longitudinal clustering, trajectories"
"clustering, cognitive impairment, transcriptomic, blood"
"brain-network, neurological disease, physics-based, alteration"
"Brain-Network, Mathematical Modeling, Neurodegenerative Disease"
"neurological disease, mathematical operator, formalization, data"
"clustering, dementia, Alzheimer's disease, predictors"
"K-operator, predictor, Alzheimer, Perusini's disease"
"brain-network, modeling, Parkinson's disease, data-based"
"hyper-parameter optimization, reinforcement learning, survival prediction, heart failure"
"hypertension, cognition, mood, behavior"
"physical performance, negative events, elderly, ilSIRENTE cohort"
"hypertension, ACE inhibitors, physical performance, elderly"
"medical device, calf circumference, regulations, longevity"
"muscle power, lower extremity, normative values, Italian community"
"physical activity, exercise, muscle mass, older adults"
"Mediterranean diet, adiposity, elderly, Longevity Check-Up"
"adherence, aerobic training, high protein, blood pressure"
"diet, sarcopenia, prevention, management"
"NMR Screening, Bioactive Compounds, Molecular Mixtures"
"natural products, Amyloid-β, aggregation, Alzheimer's disease"
"metabolomic profile, myrtle extracts, anti-amyloid activity, peptide Aβ1-42"
"NMR Toolkit, Amyloid Oligomer, Neurodegenerative Diseases, Binding Topology"
"heart rate variability, exhaustion, neuroticism, work"
"self-esteem, job satisfaction, work engagement, longitudinal relations"
"future, ageing, lightness, multiplicity"
"teaching, short course, data science, biomedicine"
"longitudinal clustering, neuropsychological factors, dementia predictors, Alzheimer's disease"
"Venus score, quality, reliability, biomedical datasets"
delirium
"elderly, work"
"skills, ageing, social cooperatives, Toscana"
"advance directives, treatment, elderly, vulnerable"
"Trust, elderly person"
"legal protection, caregiving relationships, elderly"
"living will, vulnerability, elderly, non-self-sufficient"
"trust, elderly, person"
"Healthcare Directives, European Framework, Legal Perspectives, Regulatory Challenges"
"Trust, protective measures, elderly person, vulnerable"
"trust, wealth management, estate planning, older adults"
"non-formal education, active aging, Università dell’Età Libera, Florence"
"active longevity, continuing education, well-being, emergency"
"frontotemporal dementia, characterization, neurite, imaging"
"brain connectivity, amyotrophic lateral sclerosis, apathy, depression"
"pathological spread, structural connectome, frontotemporal dementia, clinical spectrum"
"demography, population aging, Age-It, perspective"
"longevity, health, active life"
"Medically Assisted Reproduction, Births, Italy, Future Scenarios"
"longevity, health, active life"
"demography, economy, policy, pension"
"life expectancy, retirement age, differentiation"
"pension, demography, economy, policy"
"education, active aging, promising practices, Age-It"
"mortality, population, age structures, impact"
"population ageing, cointegration, drivers"
"aging, society, Italy, Age-It"
"longevity, active aging, good practices, education"
"active longevity, skills, Nigeria, Italy"
"pedagogy, ageing, future, traces"
"active aging, educate, learn, train"
"delirium, dementia, frailty, geriatricians"
"polypharmacy, sarcopenia, hospitalized patients, GLISTEN study"
"recommendations, monoclonal, anti-amyloid, diagnostic-therapeutic"
"hospital mortality, sepsis, fragility indices, drug resistance"
"Diabetes, Elderly, Functional decline, CARED study"
"Benzodiazepine, Mortality, Older Adults, Deprescribing"
"Delirium, Clinical Practice, Guidelines, Review Protocol"
"delirium, elderly, heart failure, survival"
"SGLT2 inhibitors, older people, importance"
"frailty, cardiac, transthyretin, amyloidosis"
"cerebrospinal fluid, albumin, hip fracture, older patients"
"delirium, prevalenza, consapevolezza, internazionale"
"frailty index, healthcare records, public health, population-based"
"delirium, elderly, prevention"
"mortality, frail elderly, atrial fibrillation, anticoagulants"
"hospitalization, geriatric, short-stay, cohort"
"infections, DNA methylation, telomere length, fragility"
"FT3/FT4 Ratio, metabolic marker, frailty, heart failure"
"pulmonary ultrasound, delirium, clinical outcomes, elderly patients"
"falls, risk factors, residents, nursing homes"
"long COVID, hospitalization, severe pneumonia, four years"
"frailty, JAK inhibitors, TNF inhibitors, rheumatoid arthritis"
"mitochondrial dysfunction, biomarker, frailty, FRAMITO"
"biomarkers, Alzheimer, muscle strength, elderly"
"orthostatic, blood pressure, elderly, hypertension"
"cognitive decline, functional decline, cardiac surgery, older patients"
"cardio-geriatric care, acute heart failure, frail patients, clinical outcomes"
"Occupational Therapy, Geriatric Ward, Functional Status, Discharge"
"epidemiology, delirium, nursing homes, rehabilitation facilities"
"cognitive frailty, geriatricians, survey, Europe"
"transcriptomic profile, osteoblast-like cells, trabecular titanium"
"cardio-geriatric care, frail patients, acute heart failure, post-discharge outcomes"
"dysphagia, geriatric syndromes, elderly patients, intermediate care unit"
"brain architecture, atrophy, progressive supranuclear palsy"
"nutritional status, geriatric risk, mortality, hospitalization"
"deprescribing, psychoactive drugs, orthogeriatric patients, Italian survey"
"Neurofilamenti, Delirium, Marker, Proteina"
"deprescribing, psychoactive drugs, orthogeriatric patients, Italian survey"
"geriatricians, dementia, delirium, frailty"
"Alzheimer, socio-economic burden, Italy, cost of illness"
"biomarkers, Alzheimer, muscle strength, elderly"
"continuity of care, dementia, caregiver, Tailored Activity Program"
"biomarkers, Alzheimer, cognitive functions, motor functions"
"older patients, COVID-19, biological phenotypes"
"Trazodone, elderly, long-term care, retrospective study"
"delirium, frailty, older adults, biological underpinnings"
"frailty syndrome, oxidative stress, plasma cytokines, nuclear DNA damage"
"delirium, awareness, prevalence, survey"
"delirium, SARS-CoV-2, vaccinated, LTCF"
"delirium, cardiovascular events, elderly, global health"
"delirium, prevalence, hospitals, awareness"
"delirium, nursing home, antidepressants, cross sectional"
"frailty, ethics, end of life, assessment"
"occupational therapy, geriatric ward, functional status, patients"
"continuity of care, dementia, caregiver, activity program"
"delirium, assessments, protocols"
"atrial fibrillation, functional decline, older adults, follow-up"
"delirium, diagnostic accuracy, RADAR scale, elderly"
"long COVID, follow-up, hospitalized, characteristics"
"delirium, interventions, randomized trials, review"
"pharmacological interactions, hydroxychloroquine, chloroquine, COVID-19"
"patient care, emergency departments, Northern Italy, older patients"
"temporal phenotyping, sepsis, prognostic stratification, longitudinal clustering"
"blood pressure, variability, frailty, older people"
"nighttime blood pressure, nocturnal hypotensive phenotype, falls, elderly hypertensive patients"
"depression, functional recovery, hip fracture, older adults"
"delirium, COVID-19, elderly, meta-analysis"
"respiratory failure, delirium, frailty, severity of illness"
"delirium, long-term care, Proteus"
"mortality prediction, Home-Care, Inter-RAI, chronic disease"
"care, dementia, SARS-Cov-2, Italian experience"
"continuity of care, dementia, caregivers, interdisciplinary program"
"cardio-pulmonary, COVID-19, follow-up, prospective"
"delirium, geriatric orthopedics, prevalence, protocol"
"frail patient, cardiac surgery, lessons learned, future perspectives"
"intrinsic capacity, older adults, AGIL Barcelona, multidomain program"
"healthcare, thoracic ultrasound, research, older patients"
"Long-Term Care, Health Research, GeroCovid, Vax Initiatives"
"depression, Alzheimer, diagnosis, management"
"frailty, delirium, functional status, hip fracture"
"frailty, well-being, social isolation, cognitive impairment"
"delirium, orthogeriatrics, prevalence, protocol"
"frailty, dementia, cognitive decline, care"
"genetic architecture, COVID-19, mapping, human"
"depression, Parkinson's disease, Delphi Consensus, management"
"delirium, mortality, COVID-19, hospitalization"
"mental health, healthcare workers, elderly, COVID-19"
"delirium, screening, dementia, treatment"
"orthogeriatric unit, San Gerardo hospital, Italian experience, comanagement"
"pharmacotherapy, older patients, delirium"
"COVID-19, control measures, care facilities, vaccination"
"dysphagia, elderly, rehabilitation, delirium"
"trazodone, elderly, clinical profile, GeroCovid"
"gene signatures, cancer research, retrospective, future avenues"
"EEG, data acquisition, signal processing, clinical tips"
"ECG, signal processing, tips, quick"
"smart waiting room, literature review, proposal"
"architecture project, humanization, spaces, pediatric hospital"
"gene, computational, pangenomic, analysis"
"prognostic factors, survival, sepsis, machine learning"
"ensemble machine learning, diabetes duration, key features, electronic health records"
"clustering, dementia, Alzheimer, predictors"
"social participation, education, healthy aging, Italia"
"sensory design, healthcare, healthy ageing, welcome spaces"
"innovation, care, smart spaces, elderly assistance"
"Functional, Hospitals, Humans"
"telomere shortening, vascular aging, atherosclerosis, Astragalus membranaceus"
"mitochondrial dysfunction, coronary artery disease, risk factors, early-onset"
"metabolic dysregulation, caloric restriction, senescence"
"MAPK15, metabolic dysfunction, steatotic liver, disease"
"vascular senescence, atherosclerotic plaque, telomeres, mitochondria"
"income, parenthood, Western Europe"
"TERRA, telomeric RNA, vascular aging, biological functions"
"social policies, fertility, Italy, structural interventions"
"social class, leaving home, Italy, inequalities"
"cultural portability, domestic work, migrants, gender"
"Life Trajectories, Sequence Analysis, Age, 50 Years"
"Mediterranean Architecture, Green-Digital Transition, Energy Congress, Med Green Forum"
"neurodiversity, neurodivergence"
"SpInLAB, inclusive design, participation, school inclusion"
"Sensory Design, Birth Environment, Case Studies"
"pediatric hospital, community, reception"
"funny, doctors"
"healthy aging, active aging, determinants, Age-It Research Program"
"artistic workshops, playrooms"
"animals, friends"
"clown, terapia, sorriso, corsia"
"setting, scenarios, fantasy"
"Pediatric Hospitals, experiences, story, Italy"
"climate change, generational differences, conceptualization, ecology"
"emotional self-efficacy, negative emotions, emotional inertia, younger workers"
"subjective vitality, exhaustion, self-determination theory, elderly"
"motivation, psychological needs, physical activity, elderly"
"technology, elderly, physical activity, motivation"
"LGBT+ adults, physical activity, systematic review, qualitative data"
"Internet, aging, technology, generations"
"self-efficacy, exercise, older adults, psychometric properties"
"aging, physical health, LGBTQ+, older adults"
"virtual reality, augmented reality, physical activity, older adults"
"behavioral regulation, exercise questionnaire, older people"
"microRNAs, miR-21-5p, aging, clinical characteristics"
"aging, health, metrics, healthcare systems"
"healthy ageing, framework, measurement, dataset"
"biology aging, Age-It, research, discoveries"
"epigenetic clock, Fabry disease"
"genealogical analysis, big data, biomedical research"
"Chromogranin A, gene variants, survival, age-related traits"
"bacterial DNA, biomarker, type 2 diabetes, PROMOTERA"
"Selenoprotein T, cardiomyocytes, senescence, CD36 receptor"
"Healthy Ageing, Framework, Dataset, Literature Review"
"epigenetic clock, forensic applications, reproducibility, validation"
"Metallothionein-1A, genetic variability, female fragility, preliminary study"
"MyomiRs, miR-133a-3p, Cardiovascular Disease, dysregulation"
"myomiRs, miR-133a, miR-133b, cardiovascular diseases"
"quorum quenching, biofilm, antibiotic resistance"
"essential oils, aromatic plants, antibiotics, bacteria"
"genetic polymorphisms, L-DOPA transporter, hypertension, chronic kidney disease"
"Healthy Ageing, Measurement, Conceptualisation, Literature Review"
"bacterial DNA, COVID-19, hospitalized patients, circulation"
"telomere length, leukocytes, Alzheimer's disease, familial cases"
"Irisin, microgravity, bone, muscle"
"Irisin, Melanoma, Anti-Invasiveness, BRAF Wild-Type"
"Irisin, Cognitive Functions, Alzheimer, Dementia"
"Irisin, bone damage, tumor invasion, multiple myeloma"
"Irisin, cerebrospinal fluid, biomarkers, Alzheimer disease"
"Irisin, Cardiac Fibrosis, Isoproterenol, Mice"
"Irisin, trabecular bone, osteoblast activity, ovariectomized mice"
"irisin, neurotrophin, hippocampus, prefrontal cortex"
"spectrometer, multiwavelength, time-resolved, near infrared"
"hemodynamic oscillations, resting-state, fNIRS, cerebral tissue"
"tissue scattering, spectroscopy, time-domain, layered"
"heuristic model, photon propagation, turbid media, two-layer"
"scaling relations, Monte Carlo, diffuse optics, time-resolved"
"Federated Learning, Hand Gesture, Recognition, Heterogeneous"
"AI, infrastructure, risk prevention, medical examination"
"skin pigmentation, tissue oximetry, near-infrared spectroscopy, time-domain"
"diffuse optics, time domain, biological tissues, principles"
"heuristic absorption, bilayered media, Monte Carlo, dataset"
"near infrared spectroscopy, skin pigmentation, robustness, time domain"
"Monte Carlo, diffuse optics, scaling relations, simulations"
"hemodynamic oscillations, cerebral cortex, functional near-infrared spectroscopy, simulation study"
"photon penetration, diffusive medium, maximum depth, statistics"
"scaling relations, Monte Carlo, diffuse optics, theory"
"inverse reinforcement learning, dynamic treatment, projection based, regimes"
"federated learning, hypertension, risk recognition, non-stationary"
"longitudinal data, dementia, unsupervised techniques, exploratory analysis"
"Federated Learning, ICU Patients, Hospital Nodes, Diagnosis"
"myocardium, regeneration, cardioprotection"
"unstable employment, career paths, fertility, Italy"
"Family Policies, Fertility, Evaluation, Survey Experiments"
"policies, fertility, Italy"
"social policies, fertility, pronatalist approaches, structural interventions"
"Policies, Fertility, Pronatalist, Structural"
"social impact, work flexibility, fertility, Italia"
"CXCL9, monocytes, albumin, C-reactive protein"
"employment legislation, labor market, dualism, fertility"
"cardiotoxicity, immunotherapies, spectrum, effects"
"pulmonary hypertension, gray zone, disease"
"physical performance, mortality, diabetic patients, machine learning"
"epigenetic clocks, aging, Alzheimer's disease"
"leukocytes, telomeres, Friedreich's ataxia, age"
"mitochondrial copy number, neurodegenerative diseases, future directions"
"comorbidities, combination therapy, pulmonary hypertension, relevance"
"sacubitril/valsartan, tolerability, HFrEF, real world"
"barrier breakdown, epigenetic control, microRNAs, age-related diseases"
"multimorbidity, fragilità, disabilità, prognosi"
"CXCL9, GDF15, FGF21, mortality"
"GDF15, FGF21, sRAGE, NfL"
"biomarkers, aging, frailty, multimorbidity"
"Epigenetic Drift, HBV, Vaccination, Efficacy"
"B Cells, HBV Vaccine, DNA Methylation, Aging"
"GDF15, muscle health, circulating markers, intramuscular markers"
"PLIN2, dermal fibroblasts, mitochondrial function, cellular senescence"
"multicomponent interventions, frailty, cognitive decline, Age-It Research Program"
"cardiovascular events, children, medulloblastoma, high risk"
"housing insecurity, subjective well-being, types of family, Italia"
"single-parent families, adolescent well-being, Europe, multilevel"
"Intensive Care Unit, Hospitalizations, Pulmonary Arterial Hypertension, Outcomes"
"single-parent families, adolescent well-being, Europe, multilevel analysis"
"management, pulmonary, arterial, hypertension"
"ERS Congress, Pulmonary Vascular, Diseases, Assembly"
"Activin Pathway, Biomarkers, Pulmonary Hypertension, Vascular Remodeling"
"heterogeneity, differentiation, microRNA, vascular disease"
"spaceflight, inflammaging, aging"
"Nuclear ASC, microglia, inflammasome, Parkinson's disease"
"activin pathway, thromboembolic pulmonary hypertension, biomarker, endarterectomy"
"Cardio-Oncology, Elderly Patients, Challenges"
"Pembrolizumab, hypereosinophilia, breast cancer, triple negative"
"placental growth factor, endothelial NO, hepatopulmonary syndrome"
"biomarkers, CTEPH, prognostic significance, post-PEA dynamics"
"inflammation, cancer, heart failure"
"exercise capacity, CPET test, cancer patients, antineoplastic treatments"
"biomarkers, pulmonary hypertension, CTEPH, prognosis"
"defibrillation, strategies, ventricular fibrillation, refractory"
"prevention, cardiovascular complications, elderly, cancer patients"
"risk stratification, pulmonary arterial hypertension, echocardiography"
"cardio-oncology, cardiovascular events, cancer patients"
"ICU, hospitalisations, pulmonary arterial hypertension, outcomes"
"cardio-oncology, cardiovascular risk, breast cancer, cardiovascular events"
"cardiovascular events, treatment, children, medulloblastoma"
"digital interventions, older adults, multimorbidity, mixed-methods"
"self-care, older adults, chronic diseases, illness perceptions"
"virtual reality, physical activity, older adults, VR2Care"
"interpretable modelling, human mortality, gender, forecasting"
"Mortality, Gender Gap, Clustering, Multi-country"
"reverse mortgage, Italian population, lifestyle model, approach"
"EURO, 2025"
"LTC Insurance, model risk, subjective utility, assessment"
"Reverse Mortgage, life cycle model, Italian framework"
"neural network, reverse mortgages, economic complexity, risk measures"
"Xanthohumol, amyloid-β, oligomers, aggregates"
"biomarkers, prevention, cognitive decline, functional"
"Osteocalcin, Proteoforms, Carboxylation, Structural roles"
"T follicular helper, TFH, aging, pathological"
"CD4+FOXP3, regulatory T cells, breast cancer, prognosis"
"Plasma, GFAP, NfL, pTau 181"
"biomarkers, aging, frailty, disorders"
"plasma p-tau181, biomarker, Alzheimer's Disease, cognitive decline"
"frailty, social networks, activity participation, Europe"
"frailty, activity participation, welfare, SHARE data"
"legislation, collective bargaining, age management, digital transition"
"Active Ageing, Digital Policies, EU, Italy"
"age management, collective bargaining, strategies, measures"
"noninvasive techniques, biological aging, cardiovascular system, JACC"
"telomere integrity, epigenetic aging, biological aging, pulmonary fibrosis"
"DNA methyltransferase, modulators, healthy aging, mechanistic insights"
"Monarda didyma, geroprotection, in vitro, biological aging"
"biological aging, COVID-19, healthcare workers, long-term effects"
"cellular aging, cognitive functionality, visual arts, neurocognitive disorders"
"cosmic chronometers, spaceflight, biological ageing"
"demographic decline, artificial intelligence, workforce, aging"
"health funds, regulation, health, supplementary"
"demographic dynamics, labor market"
"artificial intelligence, challenges, opportunities, demographic transition"
"longevity, active aging, work inclusion, labor law"
"digital health, artificial intelligence, breast cancer, patient journey"
"epitranscriptomic, modifications, RNA sequencing, ONT"
"REDInet, RNA editing, temporal convolutional network, classifier"
"REDIportal, A-to-I editing, integrated view"
"C-to-U editing, RNA sequencing, profiling, rare events"
"RNA editing, C-to-U, sequencing"
"REDInet, RNA editing, classifier, TCN-based"
"ribonucleotides, DNA, Nanopore, sequencing"
"digital solutions, plastic surgery, non-melanoma, user-centred"
"Graphene, Textiles, Infant Sleep, Tomography"
"piezoresistive, graphene, sensing, intelligent patterns"
"Graphene-Ink, Pressure Sensing, Sleeping Posture, Machine Learning"
"approccio partecipativo, diffusione, attuazione, invecchiamento"
"cross-contaminations, aviation oil, impedance, machine learning"
"sputtering, AlScN, thin films, piezoelectric properties"
"copper ions, voltammetry, cell culture, organ-on-chip"
"moisture assessment, lubricant oil, measurement time, MLS-based system"
"Electrosense, wearable, potentiostat, glucose monitoring"
"water contamination, lubricant oil, measurement system, classification"
"TEER, ion selective, transwell-integrated, Caco-2"
"nanoelectrodes, electrochemical detection, fabrication techniques, applications"
"machine learning, anodic stripping voltammetry, copper ions, pH detection"
"TEER, Intestinal Barrier, Chip, microbubbles"
"glucose sensors, calibration, differential compensation, algorithm"
"wearable socks, hydrogel electrodes, surface electromyography, muscle activity"
"colorectal cells, tight junctions, Raman microspectroscopy, machine learning"
"biosensor, Oncostatin M, inflammatory bowel diseases, human serum"
"wireless potentiostat, PWM-DAC, biosensors, glucose monitoring"
"quadruple helix, health systems, innovation, ageing"
"axillary management, lymph node biopsy, dual tracer, single tracer"
"local management, breast cancer, conservative therapy, patient perspective"
"ultrasound, periareolar, oncoplastic, breast surgery"
"Breast Reconstruction, Bovine Pericardium, Surgical Techniques, Improved Outcomes"
"axillary markers, neoadjuvant chemotherapy, breast cancer, AXSANA cohort"
"LyBra score, risk assessment, breast cancer, lymphedema"
"lobular carcinoma, clinical management, oncological outcomes, MultiLCIS study"
"mastectomy, breast reconstruction, prepectoral implant, nipple-sparing"
"MRI, surgical management, HER2-positive, breast cancer"
"breast correction, anatomical implant, cohesive silicone, surgical experience"
"dietary interventions, cancer prevention, nutrition, strategy"
"Lobular carcinoma, clinical management, oncological outcomes, pleomorphic carcinoma"
"autofluorescence, nerves, visualization, lymph nodes"
"mammary artery, perforator, plug flap"
"mastopexy, implant, breast reshaping, augmentation"
"anthropometric estimates, satisfaction, breast, asymptomatic women"
"mastectomy, nipple-sparing, breast reconstruction, prepectoral implant"
"Aesthetic, Breast, Surgery, Evolution"
"breast reconstruction, new perspectives"
"axillary dissection, nodal downstaging, neoadjuvant chemotherapy"
"nodal ITCs, neoadjuvant chemotherapy, axillary dissection, OPBC05/EUBREAST-14R"
"breast units, multidisciplinary, Italian, review"
"Social Area, Breast, Cultures, Evolution"
"thoracodorsal artery, perforator flap, breast reconstruction, feasibility"
"quality of life, breast cancer, meta-analysis, assessment modalities"
"Acellular dermal matrices, breast reconstruction, mastectomy, clinical recommendation"
"conservative surgery, mastectomy, survival, impact"
"breast cancer, multifocal, multicentric, management"
"text mining, word embedding, breast cancer, decision making"
"inframammary fold, management, breast surgery"
