title,keywords
Radio-frequency handoff strategies to seamlessly integrate indoor localization systems,"radio-frequency, handoff, indoor localization, integration"
Enabling Person-Centric Healthcare Using Ambient Assistive Technology,"Person-Centric, Healthcare, Ambient Technology, Assistive"
A Bluetooth 5.1 dataset based on angle of arrival and RSS for indoor localization,"Bluetooth 5.1, dataset, indoor localization, angle of arrival"
Modelling the localization error of an AoA-based localization system,"localization error, AoA, localization system"
On the analysis of body orientation for indoor positioning with BLE 5.1 direction finding,"body orientation, indoor positioning, BLE 5.1, direction finding"
Changes of in-vivo markers of platelet activation during the menstrual cycle in healthy pre-menopausal female individuals,"marker, attivazione piastrinica, ciclo mestruale, donne sane"
Exploring Neuroscientific Approaches to Architecture: Design Strategies of the Built Environment for Improving Human Performance,"neuroscienza, architettura, design, prestazioni umane"
Ambienti SHAFE a prova di clima: Traiettorie per la progettazione di spazi di vita in un clima che cambia,"Ambienti SHAFE, progettazione, spazi di vita, clima"
Applicazione di strumenti GIS-based per la qualità del camminare,"GIS, qualità, camminare, strumenti"
Divergent regulation of long non-coding RNAs H19 and PURPL affects cell senescence in human dermal fibroblasts,"long non-coding RNAs, H19, PURPL, cell senescence"
Differential Responses of Human Astrocytes to Amyloid β1-42 Treatment: a comparative study between astrocytes from healthy individuals and Alzheimer’s patients,"astrocytes, Amyloid β1-42, Alzheimer, risposte differenziali"
Comparing flexible modelling approaches: the varying-thresholds model versus quantile regression,"modelling approaches, varying-thresholds model, quantile regression"
The antiport mechanism of the human LAT1 transporter: defining the molecular determinants by means of wet and dry approaches,"LAT1 transporter, antiport mechanism, molecular determinants, wet and dry approaches"
A comparison between the varying-thresholds model and quantile regression,"thresholds model, quantile regression, comparison"
Environmental design for SHAFE approach,"Environmental design, SHAFE, approach"
"Circulating Mitokines GDF-15 and FGF21 are associated with Frailty, Sarcopenia, and Malnutrition in Older Adults: Evidence from the FRASNET Study","Mitokine, GDF-15, Sarcopenia, Malnutrizione"
The association between CKD and frailty in the FRASNET study: suggestion of a novel eGFR threshold as a key determinant of frailty in the elderly,"CKD, frailty, eGFR, elderly"
Molecular constraints of sarcopenia in the ageing muscle,"sarcopenia, muscle, ageing, molecular"
Dialogues on intergenerational care:(de-) constructing gendered family scripts through online social interaction,"intergenerational care, gendered scripts, online interaction"
Association between dairy products intake and frailty transitions in older adults: The InCHIANTI cohort study,"dairy products, frailty, older adults, InCHIANTI cohort"
Elderly care as an epistemic object to confirm and deconstruct gendered family scripts,"elderly care, gendered scripts, family, epistemic object"
Do Expectations of Late-Life Care Needs and Future Outlook Influence Fertility Intentions? Evidence from Italy,"fertility intentions, late-life care, Italy, future outlook"
"Frailty index, frailty phenotype and 6-year mortality trends in the FRASNET cohort","frailty index, frailty phenotype, mortalità, FRASNET"
Biomarkers per la sarcopenia: come prevenire il declino della massa e della funzione muscolare,"biomarkers, sarcopenia, massa muscolare, funzione muscolare"
Interdisciplinary Collaboration for Designing with Intelligence: A qualitative study on the development of AI tools for home adaptation for older adults,"collaboration, AI tools, home adaptation, older adults"
Drugs and Healthy Aging,"Drugs, Healthy Aging"
EARLY RECOGNITION AND PROMPT TREATMENT OF ACUTE SARCOPENIA: IMPACT ON SHORT-AND LONG-TERM OUTCOMES,"sarcopenia, trattamento, risultati, riconoscimento"
"Biomarkers for Sarcopenia: Predicting Muscle Mass and Function Decline Through GDF-15, FGF21, sRAGE, and Neurofilaments","biomarkers, sarcopenia, muscle mass, neurofilaments"
A focus on the pathophysiology of adrenomedullin expression: Endothelitis and organ damage in severe viral and bacterial infections,"adrenomedullin, endothelitis, organ damage, infections"
Adaptability of Housing for Home Care: Strategies and Design Solutions for Assistive Spaces and Technologies,"Housing, Home Care, Assistive Technologies, Design Solutions"
Design disciplines and their potential connections for socially sustainable scenarios,"design, sostenibilità, scenari, connessioni"
Profiling Frailty: A parsimonious Frailty Index from health administrative data based on POSET theory,"Frailty Index, POSET theory, health data"
Indicatori di fragilità sulla base di dati amministrativi,"indicatori, fragilità, dati, amministrativi"
Cos’ è la fragilità dell’anziano e come può essere identificata,"fragilità, anziano, identificazione"
LA FRAGILITÀ NEGLI ANZIANI: COMPRENDERLA E MISURARLA PER ORIENTARE LE POLITICHE SANITARIE,"fragilità, anziani, politiche sanitarie, misurazione"
Muscle quality assessment in COVID-19 survivors: agreement between echointensity and stiffness,"muscle quality, COVID-19, echointensity, stiffness"
DNA polymorphisms in inflammatory and endocrine signals linked to frailty are also associated with obesity: data from the FRASNET cohort,"DNA polymorphisms, inflammatory signals, endocrine signals, obesity"
Housing Adaptability for Aging in Place. Sustainable Approaches to Improve Environmental Comfort,"Housing Adaptability, Aging in Place, Sustainable Approaches, Environmental Comfort"
Acute sarcopenia: mechanisms and management,"sarcopenia, meccanismi, gestione"
Soft skills and their relationship with life satisfaction and cognitive reserve in adulthood and older age,"soft skills, life satisfaction, cognitive reserve, adulthood"
Sarcopenic obesity and pre-sarcopenia contribute to frailty in community-dwelling Italian older people: data from the FRASNET study,"sarcopenic obesity, pre-sarcopenia, frailty, anziani italiani"
Habitable Future. SpringerBriefs in Applied Sciences and Technology,"Habitable, Future, Applied Sciences, Technology"
"Habitable Future: Smart Spaces, Objects, and Devices to Support Aging","Habitable Future, Smart Spaces, Aging, Devices"
The complexity of Reading revealed by a study with healthy older adults,"Reading, complexity, older adults"
Caregivers’ Mental Health: Gender Differences Across Europe,"salute mentale, caregivers, differenze di genere, Europa"
La cultura fa bene alla salute? Un approccio pseudo-panel sui dati dell’indagine ISTAT Multiscopo–Aspetti della Vita Quotidiana,"cultura, salute, ISTAT, pseudo-panel"
Kinlessness at older ages: Prevalence and heterogeneity in 27 countries,"kinlessness, older ages, prevalence, heterogeneity"
Living environment and life satisfaction: some insights from Italy,"ambiente, soddisfazione, vita, Italia"
A potential age-independent MASLD-related liver fibrosis index based on metabolic profiling,"MASLD, fibrosi epatica, profilo metabolico, indice"
Distinct platelet phenotype and reactivity in individuals with permanent atrial fibrillation treated with direct oral anticoagulants: a pilot study,"piastrine, fibrillazione atriale, anticoagulanti orali, reattività"
Performance Validation of a Low-Cost Multisensor Device in the Healthy Aging Field,"performance, multisensor, device, healthy aging"
Neutrophil–lymphocyte ratio is associated with worse outcomes in patients with cirrhosis: insights from the PRO-LIVER Registry,"neutrophil-lymphocyte ratio, cirrosi, outcomes, PRO-LIVER Registry"
"Metabolic Syndrome and Liver Disease: Re-Appraisal of Screening, Diagnosis, and Treatment Through the Paradigm Shift from NAFLD to MASLD","Sindrome Metabolica, Malattia Epatica, NAFLD, MASLD"
Ppg Analysis From A Low-Cost Multisensor Device For Aging-Related Features Extraction,"Ppg, Multisensor, Aging, Features"
Sex and gender differences in cardiovascular diseases,"sex differences, gender differences, cardiovascular diseases"
An age-independent MASLD-related liver fibrosis index reflecting gut dysbiosis and hepatic stellate cells reprogramming,"MASLD, fibrosi epatica, dysbiosis, cellule stellate"
Housing Tenure Trajectories and Health in Later-Life across Europe,"Housing Tenure, Health, Later-Life, Europe"
Mid-regional pro-adrenomedullin can predict organ failure and prognosis in sepsis?,"pro-adrenomedullin, organ failure, prognosis, sepsis"
Breakthrough infections after COVID-19 vaccinations do not elicit platelet hyperactivation and are associated with high platelet–lymphocyte and low platelet–neutrophil aggregates,"infezioni, vaccinazioni, piastrine, aggregati"
A machine-learning based bio-psycho-social model for the prediction of non-obstructive and obstructive coronary artery disease,"machine learning, bio-psycho-social model, coronary artery disease, prediction"
Exploring additional strategy to improving cognitive skills in older adults,"cognitive skills, older adults, strategy, improvement"
Envisioning simple equitable and mobile-health solutions for complex and diverse needs of women and men with atrial fibrillation,"mobile-health, atrial fibrillation, equitable solutions, diverse needs"
Adherence to the Mediterranean Diet in Preventing Major Cardiovascular Events in Patients with Ischemic Heart Disease: The EVA Study,"Mediterranean Diet, Cardiovascular Events, Ischemic Heart Disease, EVA Study"
Mid-regional pro-adrenomedullin and N-terminal pro-B-type natriuretic peptide measurement: a multimarker approach to diagnosis and prognosis in acute heart failure,"pro-adrenomedullin, natriuretic peptide, heart failure, diagnosis"
Health in early adulthood and fertility: A study based on the 1958 British cohort,"health, early adulthood, fertility, British cohort"
Addressing misclassification in the assessment of self-rated health: insights from the older adult population in Italy,"misclassification, self-rated health, older adults, Italy"
"Overqualified, Still Satisfied? Revisiting Job Satisfaction Among Overqualified Migrants","overqualified, job satisfaction, migrants"
"The Relationship Between Work, Health, and Well-Being: A Comparative Study of Two Italian Cohorts","lavoro, salute, benessere, coorti"
Overqualification and Job/Wage Satisfaction Among Migrants: Insights from Italy,"overqualification, job satisfaction, wage satisfaction, migrants"
Educational disparities in dementia incidence and healthcare utilization: evidence from a cohort study in Italy,"disparità educative, incidenza demenza, utilizzo sanitario, coorte Italia"
Educational Disparities in the Risk of Dementia and Subsequent Risk of Hospitalization in Lazio Region,"disparità educative, rischio demenza, ospedalizzazione, Lazio"
Ristrutturazione occupazionale e transizione tecnologica nelle imprese italiane: sfide e opportunità del Contratto di espansione,"ristrutturazione occupazionale, transizione tecnologica, imprese italiane, contratto di espansione"
Parti sociali e invecchiamento della forza lavoro: strategie d’azione e rappresentanza dei lavoratori over 50 in tre settori,"invecchiamento, forza lavoro, rappresentanza, lavoratori over 50"
La regolazione del lavoro che invecchia: la rappresentanza dei lavoratori over 50 nei contratti collettivi in Italia,"lavoratori over 50, contratti collettivi, rappresentanza, regolazione lavoro"
Kinlessness in adult and old age across Europe,"kinlessness, adult age, old age, Europe"
Impact of 7-ketocholesterol on the function and stability of the LAT1 transporter,"7-ketocholesterol, LAT1 transporter, function, stability"
Lysine 204 is crucial for the antiport function of the human LAT1 transporter,"Lysine 204, antiport function, LAT1 transporter, human"
OCTN1 (SLC22A4) as a Target of Heavy Metals: Its Possible Role in Microplastic Threats,"OCTN1, metalli pesanti, microplastiche, SLC22A4"
Inflammation and organic cation transporters novel (OCTNs),"inflammation, organic cation, transporters, OCTNs"
Over-Production of the Human SLC7A10 in E. coli and Functional Assay in Proteoliposomes,"SLC7A10, E. coli, proteoliposomes, functional assay"
LAT1 (SLC7A5) catalyzes copper (histidinate) transport switching from antiport to uniport mechanism,"LAT1, copper transport, antiport, uniport"
Inhibition of the mitochondrial carnitine/acylcarnitine carrier by Itaconate through irreversible binding to cysteine 136: possible pathophysiological implications,"inhibition, carnitine carrier, Itaconate, cysteine 136"
HIV reservoir and premature aging: risk factors for aging-associated illnesses in adolescents and young adults with perinatally acquired HIV,"HIV reservoir, premature aging, risk factors, adolescents"
Adaptive IoT-Based Platform for CO2 Forecasting Using Generative Adversarial Networks: Enhancing Indoor Air Quality Management with Minimal Data,"IoT, CO2 forecasting, Generative Adversarial Networks, air quality"
Outcome measures for health interventions targeting multimorbid older adults: A systematic review.,"outcome measures, health interventions, multimorbid adults, systematic review"
"A Systematic Review of Surface Electromyography in Sarcopenia: Muscles Involved, Signal Processing Techniques, Significant Features, and Artificial Intelligence Approaches","elettromiografia, sarcopenia, intelligenza artificiale, tecniche di elaborazione"
A Transfer Learning Approach for Toe Walking Recognition Using Surface Electromyography on Leg Muscles,"Transfer Learning, Toe Walking, Surface Electromyography, Leg Muscles"
"Old age risks, consumption, and insurance","old age, risks, consumption, insurance"
How to Make the Skin Contact Area Controllable by Optical Calibration in Wearable Tactile Displays of Softness,"skin contact, optical calibration, wearable tactile, softness"
"Can We Afford a Child? The Positive Effect of His and Her Income on First Births—Evidence from Longitudinal Tax Data, 2003-2021","child affordability, income effect, first births, longitudinal data"
Life Care Reverse Mortgages: monitoring the net cashflows of a new hybrid insurance product,"Reverse Mortgages, cashflows, insurance product, Life Care"
Longevity comparison by gender: exploring the future through an evidence-based approach,"longevity, gender, evidence-based, comparison"
"Age, morbidity, and time to death: End-of-life expenditures on health care for the young-old population: I. Torrini et al.","morbidity, spese sanitarie, popolazione giovane-anziana, tempo di morte"
Understanding and attitudes toward Reverse Mortgage in Italy: cognitive dissonance and future concerns,"Reverse Mortgage, Italia, dissonanza cognitiva, preoccupazioni future"
Reverse mortgages: Exploring the impact of risk factors by source,"reverse mortgages, risk factors, impact, source"
Who (and why) is still afraid of Reverse Mortgages? Results from survey in Italy,"Reverse Mortgages, survey, Italy, fear"
Waiting Spaces in Primary Care for Healthy Ageing: Applying Design Guide-lines to the Project,"Waiting Spaces, Primary Care, Healthy Ageing, Design Guidelines"
Why Do Households Save and Work?,"households, save, work"
High Torque teno virus viremia predicts long-term mortality and reflects chronic low-grade inflammation (inflammaging) in geriatric inpatients,"teno virus, viremia, mortalità, inflammaging"
Toward precision interventions and metrics of inflammaging,"precision interventions, inflammaging, metrics"
Repeatome Analysis of Plasma Circulating DNA in Patients with Cardiovascular Disease: Variation with Cell-Free DNA Integrity/Length and Clinical Parameters,"circulating DNA, cardiovascular disease, cell-free DNA, clinical parameters"
Between regulatory functions and emotional burden: balancing engagement in digital health interventions for self-care in chronic illness,"digital health, self-care, chronic illness, emotional burden"
Reconfiguring Domestic Environments: A Decision Support System for Ambient Assisted Living,"Decision Support, Ambient Assisted Living, Domestic Environments"
Triglyceride glucose index predicts long-term mortality and major adverse cardiovascular events in patients with type 2 diabetes,"triglyceride glucose index, mortality, cardiovascular events, type 2 diabetes"
"Health inequality and economic disparities by race, ethnicity, and gender","salute, disuguaglianza, disparità economiche, razza"
Performance and Usability of Remote PPG Technology on Consumer Smartphones,"Remote PPG, Performance, Usability, Smartphones"
Heart rate variability and autonomic nervous system imbalance: Potential biomarkers and detectable hallmarks of aging and inflammaging,"heart rate variability, autonomic nervous system, biomarkers, inflammaging"
Movement disorders and smart wrist devices: a comprehensive study,"movement disorders, smart devices, wrist, comprehensive"
Customizing Seniors’ Living Spaces: A Design Support System for Reconfiguring Bedrooms Integrating Ambient Assisted Living Solutions,"Seniors, Living Spaces, Design Support, Ambient Assisted Living"
DNA Methylation-derived biological age and long-term mortality risk in subjects with type 2 diabetes,"DNA Methylation, biological age, mortality risk, type 2 diabetes"
Deep Transfer Learning Approach in Smartwatch-Based Fall Detection Systems,"Deep Transfer Learning, Smartwatch, Fall Detection, Systems"
Circulating biomarkers of inflammaging and Alzheimer’s disease to track age-related trajectories of dementia: Can we develop a clinically relevant composite combination?,"biomarcatori, inflammaging, Alzheimer, demenza"
Systemic metabolic crosstalk as driver of cancer cachexia,"metabolic crosstalk, cancer, cachexia"
A Transfer Learning Approach for an Automatic Fall Detection System Based on the Combined Use of a Smartwatch and a Smartphone,"Transfer Learning, Fall Detection, Smartwatch, Smartphone"
Design and Development of a Virtual Reality Prototype for a Smart Waiting Room Promoting Occupants’ Well-Being,"Virtual Reality, Smart Waiting Room, Well-Being, Prototype"
PHAF1/MYTHO is a novel autophagy regulator that controls muscle integrity,"PHAF1, MYTHO, autophagy, muscle integrity"
Gender‐inclusive financial and demographic literacy: Monetizing the gender mortality gap,"gender inclusion, financial literacy, demographic literacy, mortality gap"
Women’s retirement behavior and pension wealth: the unintended effect of a recent pension reform,"women, retirement behavior, pension wealth, pension reform"
Gli spazi sensoriali come supporto alla fragilità nelle Case di Comunità,"spazi sensoriali, fragilità, Case di Comunità"
Multi-Dimensional Healthy Aging Interventions: Evidence from an Age-Friendly Community Program in Italy,"Healthy Aging, Interventions, Community Program, Italy"
Early-life adversity shapes anomalous spontaneous behavior in mice heterozygous for Cntnap2,"early-life adversity, spontaneous behavior, mice, Cntnap2"
An inflammatory fingerprint in mild cognitively impaired patients is reversed by physical and cognitive training,"inflammatory fingerprint, cognitive training, physical training, mild cognitive impairment"
Exploiting personal memories in humanoid robot serious games for mild cognitive impaired older adults,"humanoid robot, serious games, cognitive impairment, older adults"
Automated assessment of the mouse body-language reveals pervasive behavioral disruption in a two-hit model of psychiatric vulnerability,"automated assessment, mouse body-language, behavioral disruption, psychiatric vulnerability"
Tooth Loss as a Risk Factor of Declining Intrinsic Capacity Domains in Later Life: Evidence From NHANES 2009–2014,"Tooth Loss, Intrinsic Capacity, Risk Factor, Aging"
Blueprint persona and information and communication technology interventions: addressing unmet needs in burning mouth syndrome care,"burning mouth syndrome, ICT interventions, unmet needs, care"
How raising the Full Retirement Age affects early retirement choices: insights from the interaction of two policies,"Full Retirement Age, early retirement, policy interaction, choices"
The long-term effects of hospitalization on health care expenditures: An empirical analysis for the young-old population in Lombardy,"hospitalization, health care, expenditures, young-old"
La sfida dell’invecchiamento: Quali prospettive per un nuovo welfare,"invecchiamento, welfare, prospettive"
Effects of Music Listening on Cognition and Affective State in Older Adults: A Systematic Review and Meta-Analysis,"Music Listening, Cognition, Affective State, Older Adults"
Il progetto degli ambienti di cura: spazi e tecnologie di inclusione.,"ambienti di cura, spazi, tecnologie, inclusione"
Perceived barriers and facilitators to family and community nurses' care for older adults: a descriptive qualitative study,"barriere percepite, infermieri di comunità, cura anziani, facilitatori"
BLUEPRINT PERSONA AND INFORMATION AND COMMUNICATION TECHNOLOGY INTERVENTIONS: ADDRESSING UNMET NEEDS IN BURNING MOUTH SYNDROME CARE,"Burning Mouth Syndrome, ICT Interventions, Unmet Needs, Blueprint Persona"
How raising the full retirement age affects women’s early retirement choices: insights from the interaction of two policies,"retirement age, women, early retirement, policies"
Distinctive Progression Patterns of Brain Structural Damage Aid Classification of Frontotemporal Dementia Variants,"Brain Damage, Frontotemporal Dementia, Classification, Progression Patterns"
"Personal and General Views on Aging, Non-Communicable Diseases, and Their Interaction as Cross-Sectional Correlates of Vigorous Physical Activity in UK Individuals Aged 50+","invecchiamento, attività fisica, malattie non trasmissibili, UK"
Distinctive Brain Atrophy Progression Patterns Aid Classification of Frontotemporal Dementia Variants (P4-3.011),"Brain Atrophy, Dementia, Frontotemporal, Classification"
Motivazione e cura di sé nell’invecchiamento: una revisione sistematica della letteratura,"motivazione, cura di sé, invecchiamento, revisione sistematica"
Exploring Transitions in Professionalism and Self-Determination for Older Adults,"Professionalism, Self-Determination, Older Adults, Transitions"
Beyond the Dark Side Of Educating Clients: The Challenges of Democratic Professionalism and Self-Determination For Older Adults,"educazione, professionalismo, autodeterminazione, anziani"
L’Opera lirica nelle RSA. Valutazione partecipata di un progetto volto al benessere degli ospiti,"Opera lirica, RSA, benessere, progetto"
Working longer or opting out? Women’s costly response to a recent pension reform,"pension reform, women, work longer, opting out"
Motivations for self-care and lifestyles change: narratives in the ageing process,"self-care, lifestyle change, aging, narratives"
The Cost of Retirement Income Provision: Some Quantitative Insights in Life Insurance,"Retirement Income, Life Insurance, Cost, Quantitative Insights"
Meeting the challenges of longevity: lifetime income from real estate,"longevity, income, real estate, challenges"
Looking toward the future: Well-ageing solutions from the equity release mortgage market,"well-ageing, equity release, mortgage market"
Lee–Carter model: assessing the potential to capture gender-related mortality dynamics,"Lee-Carter, modello, mortalità, genere"
Gender-inclusive financial and demographic literacy: lessons from the empirical evidence,"gender-inclusive, financial literacy, demographic literacy, empirical evidence"
Are marriage-related taxes and Social Security benefits holding back female labor supply?,"marriage-related taxes, Social Security, female labor, economic impact"
"Label architecture. Centro per la cura dei bambini. Porcheresse, Belgio","architettura, cura bambini, Porcheresse, Belgio"
Disability trends in selected European countries: an Age-Period-Cohort analysis,"disabilità, tendenze, analisi, coorte"
Meat-Based Diet Significantly Affects Risk Parameters for Colorectal Cancer: The MeaTIc Dietary Intervention Study,"dieta a base di carne, cancro colorettale, intervento dietetico, rischio"
Ethical and legal implications of health monitoring wearable devices: A scoping review,"ethical implications, legal implications, health monitoring, wearable devices"
Implicazioni etico-giuridiche del trattamento dei dati personali di persone affette da demenza nell’ambito di una sperimentazione che coinvolge i loro caregiver: criticità e …,"dati personali, demenza, caregiver, etica"
Multi-wearable sensor sleep monitoring of family caregivers of people with dementia: The iCARE-IT AVERE-CURA project protocol,"sensor, sleep monitoring, caregivers, dementia"
Wearable Health-Monitoring Devices: Data Protection and Other Ethical Issues,"Wearable Devices, Health Monitoring, Data Protection, Ethical Issues"
Ethical and Legal Issues of Health Monitoring Wearable Devices: A Scoping Review,"ethical issues, legal issues, health monitoring, wearable devices"
"Job insecurity, equilibrium determinacy and E-stability in a New Keynesian model with asymmetric information. Theory and simulation analysis","job insecurity, New Keynesian, asymmetric information, E-stability"
SENSORY ENVIRONMENTS: A STRATEGY FOR INCLUSION,"sensory environments, inclusion, strategy"
"Riflessioni sull’impatto delle applicazioni tecnologie nell’ambito sanitario, tra regole etiche e regole giuridiche| Reflections on the impact of technology applications in …","impatto tecnologico, sanità, regole etiche, regole giuridiche"
Maison de santé Audun-Le-Roman: un edificio per promuovere la salute della comunità.,"salute, comunità, edificio, promozione"
Exploring the thermodynamic foundations of human aging: a comprehensive analysis of metabolic behavioural models in relation to physical activity and longevity,"thermodynamics, aging, metabolic models, longevity"
Inter-laboratory variation in measurement of DNA damage by the alkaline comet assay in the hCOMET ring trial,"DNA damage, alkaline comet assay, inter-laboratory variation, hCOMET ring trial"
Long-term cryopreservation of potassium bromate positive assay controls for measurement of oxidatively damaged DNA by the Fpg-modified comet assay: results from the hCOMET ring …,"cryopreservation, potassium bromate, oxidative damage, comet assay"
DNA strand break levels in cryopreserved mononuclear blood cell lines measured by the alkaline comet assay: results from the hCOMET ring trial,"DNA strand break, cryopreserved cells, alkaline comet assay, hCOMET trial"
The Senolytic Activity of Quercetin on Doxorubicin-Induced Senescent Fibroblasts Reduced Osteosarcoma Cell Growth and Invasiveness,"Senolytic Activity, Quercetin, Osteosarcoma, Fibroblasts"
Expanding the frontiers of guardian antioxidant selenoproteins in cardiovascular pathophysiology,"selenoproteins, antioxidant, cardiovascular, pathophysiology"
OLDER PERSONS OF LAW PEOPLE IN THE AS PERSPECTIVE VULNERABLE,"older persons, law, vulnerable"
Invecchiare lavorando. Il caso dei lavoratori migranti senior in Italia/Growing Older at Work: The Case of Senior Migrant Workers in Italy,"invecchiamento, lavoratori migranti, senior, Italia"
Enhancing token boundary detection in disfluent speech,"token boundary, disfluent speech, detection"
Le attività economiche dei lavoratori senior in Italia,"attività economiche, lavoratori senior, Italia"
"Telework, Qualitative Job Insecurity, and Work-Life Balance: Age-Stratified Evidence from the EWCTS 2021","telework, job insecurity, work-life balance, age stratification"
Telelavoro: opportunità o minaccia per i lavoratori senior? Un’analisi teorica su insicurezza lavorativa ed equilibrio vita-lavoro/Telework: opportunity or threat for senior …,"telelavoro, lavoratori senior, insicurezza lavorativa, equilibrio vita-lavoro"
"Advancing the understanding, measurement and monitoring of healthy ageing: A systematically derived framework and dataset mapping associated constructs, measures and …","healthy ageing, framework, measurement, dataset"
Conceptualisation and measurement of healthy ageing: insights from a systematic literature review,"healthy ageing, conceptualisation, measurement, literature review"
Tactile sensitivity to softness in virtual reality can increase when visual expectation and tactile feedback contradict each other,"tactile sensitivity, virtual reality, visual expectation, tactile feedback"
Capitolo 3 Le determinanti del Work-Life Balance in Europa,"Work-Life Balance, determinanti, Europa"
"Verso un invecchiamento attivo, in salute e sostenibile","invecchiamento attivo, salute, sostenibile"
Erratum to: Parvovirus B19 induces cellular senescence in human dermal fibroblasts: putative role in systemic sclerosis-associated fibrosis,"Parvovirus B19, senescenza cellulare, fibroblasti dermici, sclerosi sistemica"
Oral text reading as a multi-sensory task,"oral text reading, multi-sensory, task"
Perceived barriers and facilitators to family and community nurses’ care for older adults: a descriptive qualitative study,"barriere percepite, infermieri di comunità, cura anziani, facilitatori"
Becoming a Family and Community Nurse: Navigating Role Identity in a Fragmented System. A Phenomenological Study,"Family Nurse, Community Nurse, Role Identity, Phenomenological Study"
Nurses’ Roles in Caring for Older People in Domiciliary Settings: A Scoping Review Protocol,"nurses, caring, older people, domiciliary settings"
Patient-Reported Outcome Measures in Adults with Type 2 Diabetes—With a Focus on Older Populations: An AI-Assisted Rapid Review of Use and Implementation in Clinical and …,"outcome measures, type 2 diabetes, older populations, AI-assisted review"
Clinical health psychology perspectives in diabetes care: a retrospective cohort study examining the role of depression in adherence to visits and examinations in type 2 …,"psicologia della salute, diabete, depressione, aderenza"
Age of type 2 diabetes onset as a risk factor for dementia: A 13-year retrospective cohort study,"diabetes, dementia, risk factor, onset age"
A multi-state analysis of disease trajectories and mental health transitions in patients with type 2 diabetes: A population-based retrospective cohort study utilizing health …,"diabete tipo 2, salute mentale, coorte retrospettiva, trajectorie di malattia"
3D-Printable Gelatin Methacrylate-Xanthan Gum Hydrogel Bioink Enabling Human Induced Pluripotent Stem Cell Differentiation into Cardiomyocytes,"bioink, idrossgel, cellule staminali, cardiomiociti"
GelMA-Xanthan Gum Hydrogel Bioink Preserving hiPSCs Viability and Proliferation,"GelMA, Xanthan Gum, bioink, hiPSCs"
Wearable Tactile Display of Softness for Virtual Reality-Based Cognitive Rehabilitation,"Wearable Display, Tactile, Virtual Reality, Cognitive Rehabilitation"
Finger-mounted tactile display of softness for virtual reality,"tactile display, softness, virtual reality, finger-mounted"
The organic cation transporters 1 and 2 mediate ethanolamine cellular efflux and control systemic phosphatidylethanolamine level,"organic cation transporters, ethanolamine efflux, phosphatidylethanolamine, cellular transport"
Comparative Evaluation of Computational Models Predicting Eye Fixation Patterns During Reading: Insights from Transformers and Simpler Architectures,"Eye Fixation, Computational Models, Transformers, Reading Patterns"
"Readlet: a dataset for oral, visual and tactile text reading data of early and mature readers","dataset, text reading, early readers, mature readers"
Home and Healthcare. The prospect of home adaptation through a computational design decision-support system,"home adaptation, healthcare, computational design, decision-support system"
Impaired cAMP–PKA–CREB1 signalling drives mitochondrial dysfunction in skeletal muscle during cancer cachexia,"cAMP, PKA, CREB1, cachexia"
Gli spazi verdi delle Case della Comunità: opportunità per promuovere la salute e la qualità ambientale,"spazi verdi, salute, qualità ambientale, Case della Comunità"
Parvovirus B19 induces cellular senescence in human dermal fibroblasts: putative role in systemic sclerosis–associated fibrosis,"Parvovirus B19, senescenza cellulare, fibroblasti dermici, sclerosi sistemica"
The comet assay for the evaluation of gut content genotoxicity: Use in human studies as an early biomarker of colon cancer risk,"comet assay, genotoxicity, colon cancer, biomarker"
Colon fibroblasts from Pirc rats (F344/NTac‐Apcam1137) exhibit a proliferative and inflammatory phenotype that could support early stages of colon carcinogenesis,"fibroblasti, colon, carcinogenesi, infiammazione"
Older people as vulnerable persons in the perspective of law,"vulnerabilità, persone anziane, diritto"
La persona anziana tra famiglia e società. Problematiche di diritto civile.,"persona anziana, famiglia, società, diritto civile"
La persona anziana: sulla rilevanza giuridica della nozione,"persona anziana, rilevanza giuridica, nozione"
Active and Healthy Case Della Comunità: Model Research for Spatial Requirements of Waiting Spaces,"Active Case, Healthy Community, Spatial Requirements, Waiting Spaces"
Technologies for Elderly Care: Relevance and Challenges of User Engagement in the Design and Test Phases,"Elderly Care, User Engagement, Design, Challenges"
Acute Myeloid Leukemia: A Key Role of DGKα and DGKζ in Cell Viability,"Leucemia mieloide acuta, DGKα, DGKζ, vitalità cellulare"
"Transgenic unacylated ghrelin overexpression enhances adipogenic mediators, with lower adipocyte hypertrophy and improved insulin resistance in a mouse model of high-fat diet …","ghrelin, adipogenic, insulin resistance, mouse model"
The SAP–WASP–DGKα axis in rare hematological diseases,"SAP, WASP, DGKα, ematologiche"
Correction: Inflammation scores based on C‑reactive protein and albumin predict mortality in hospitalized older patients independent of the admission diagnosis,"inflammation scores, C-reactive protein, albumin, mortality"
Inflammation scores based on C-reactive protein and albumin predict mortality in hospitalized older patients independent of the admission diagnosis,"inflammation scores, C-reactive protein, albumin, mortality"
Constipation: a neglected condition in older emergency department patients,"constipazione, anziani, pronto soccorso, condizione trascurata"
Caregiver informali anziani e servizi pubblici digitali: i limiti delle indagini disponibili,"caregiver informali, anziani, servizi pubblici, indagini disponibili"
Protocol for a scoping review of older informal carers and digital health service use,"informal carers, digital health, scoping review, older adults"
Per una definizione di buona pratica nel contesto del lifelong learning,"buona pratica, lifelong learning, definizione"
